,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,sex,Embarked_C,Embarked_Q,Embarked_S
0,0,2,1,23.0,0,0,15.0458,1,1,0,0
1,1,2,0,24.0,2,1,27.0,0,0,0,1
2,0,3,0,48.0,1,3,34.375,0,0,0,1
3,1,1,0,52.0,1,1,93.5,0,0,0,1
4,1,2,0,4.0,1,1,23.0,0,0,0,1
5,0,3,1,19.0,0,0,8.05,1,0,0,1
6,1,1,0,51.0,1,0,77.9583,0,0,0,1
7,0,3,0,45.0,0,1,14.4542,0,1,0,0
8,0,2,1,42.0,0,0,13.0,1,0,0,1
9,1,3,1,32.0,0,0,7.925,1,0,0,1
10,1,2,1,0.67,1,1,14.5,1,0,0,1
11,1,2,0,34.0,1,1,32.5,0,0,0,1
12,0,1,1,47.0,0,0,25.5875,1,0,0,1
13,0,1,1,46.0,1,0,61.175,1,0,0,1
14,0,3,1,19.0,0,0,6.75,1,0,1,0
15,0,3,1,4.0,3,2,27.9,1,0,0,1
16,0,2,1,24.0,0,0,13.0,1,0,0,1
17,0,2,1,29.0,0,0,10.5,1,0,0,1
18,1,2,0,32.0,0,0,13.0,0,0,0,1
19,0,3,1,35.0,0,0,7.05,1,0,0,1
20,0,3,1,19.0,0,0,0.0,1,0,0,1
21,0,3,1,44.0,0,1,16.1,1,0,0,1
22,0,1,1,33.0,0,0,5.0,1,0,0,1
23,1,2,0,41.0,0,1,19.5,0,0,0,1
24,1,3,0,24.0,0,2,16.7,0,0,0,1
25,0,3,1,42.0,0,0,8.6625,1,0,0,1
26,0,3,0,29.0,1,1,10.4625,0,0,0,1
27,1,1,0,19.0,1,0,91.0792,0,1,0,0
28,1,1,0,14.0,1,2,120.0,0,0,0,1
29,0,3,1,32.0,0,0,8.3625,1,0,0,1
30,1,2,1,0.83,1,1,18.75,1,0,0,1
31,0,3,1,24.0,2,0,24.15,1,0,0,1
32,1,2,0,31.0,1,1,26.25,0,0,0,1
33,0,3,1,19.0,0,0,14.5,1,0,0,1
34,1,1,1,48.0,1,0,76.7292,1,1,0,0
35,0,3,1,22.0,0,0,7.25,1,0,0,1
36,0,3,1,21.0,0,0,7.8542,1,0,0,1
37,0,3,0,23.0,0,0,7.925,0,0,0,1
38,1,2,0,48.0,1,2,65.0,0,0,0,1
39,1,3,1,25.0,0,0,0.0,1,0,0,1
40,0,3,1,4.0,4,1,29.125,1,0,1,0
41,1,1,0,43.0,0,1,211.3375,0,0,0,1
42,1,3,0,30.0,0,0,12.475,0,0,0,1
43,1,3,1,3.0,1,1,15.9,1,0,0,1
44,1,1,1,48.0,1,0,52.0,1,0,0,1
45,1,3,0,24.0,1,0,15.85,0,0,0,1
46,0,3,1,35.0,0,0,7.125,1,0,0,1
47,1,2,0,24.0,1,2,65.0,0,0,0,1
48,1,3,0,2.0,0,1,12.2875,0,0,0,1
49,0,3,0,9.0,1,1,15.2458,0,1,0,0
50,0,3,1,41.0,2,0,14.1083,1,0,0,1
51,1,2,0,18.0,0,1,23.0,0,0,0,1
52,0,3,1,37.0,2,0,7.925,1,0,0,1
53,0,3,1,35.0,0,0,8.05,1,0,0,1
54,1,1,0,35.0,1,0,83.475,0,0,0,1
55,1,3,1,12.0,1,0,11.2417,1,1,0,0
56,0,3,1,51.0,0,0,7.0542,1,0,0,1
57,0,1,1,24.0,0,1,247.5208,1,1,0,0
58,1,3,1,9.0,1,1,15.9,1,0,0,1
59,0,2,1,46.0,0,0,26.0,1,0,0,1
60,0,1,1,51.0,0,1,61.3792,1,1,0,0
61,0,3,1,16.0,0,0,7.775,1,0,0,1
62,0,3,1,2.0,4,1,29.125,1,0,1,0
63,1,1,0,16.0,0,1,39.4,0,0,0,1
64,0,3,1,4.0,4,2,31.275,1,0,0,1
65,0,3,1,17.0,0,0,7.125,1,0,0,1
66,0,3,1,27.0,0,0,7.8958,1,0,0,1
67,0,3,1,39.0,0,0,24.15,1,0,0,1
68,0,3,1,32.0,1,0,15.85,1,0,0,1
69,1,1,0,19.0,0,0,30.0,0,0,0,1
70,0,3,0,30.5,0,0,7.75,0,0,1,0
71,0,1,1,52.0,1,1,79.65,1,0,0,1
72,1,1,0,22.0,0,2,49.5,0,1,0,0
73,1,1,0,50.0,0,1,247.5208,0,1,0,0
74,1,3,1,16.0,0,0,8.05,1,0,0,1
75,1,1,1,36.0,1,2,120.0,1,0,0,1
76,0,3,1,25.0,1,0,7.775,1,0,0,1
77,0,3,1,7.0,4,1,39.6875,1,0,0,1
78,0,3,1,36.0,1,0,15.55,1,0,0,1
79,0,1,1,28.0,1,0,82.1708,1,1,0,0
80,0,2,1,16.0,0,0,26.0,1,0,0,1
81,0,1,1,19.0,3,2,263.0,1,0,0,1
82,1,1,1,38.0,1,0,90.0,1,0,0,1
83,0,1,1,38.0,0,1,153.4625,1,0,0,1
84,0,3,1,14.0,5,2,46.9,1,0,0,1
85,1,1,0,33.0,0,0,86.5,0,0,0,1
86,0,2,1,25.0,1,2,41.5792,1,1,0,0
87,1,2,0,42.0,0,0,13.0,0,0,0,1
88,0,2,1,16.0,0,0,10.5,1,0,0,1
89,0,3,0,18.0,2,0,18.0,0,0,0,1
90,0,3,1,40.0,1,1,15.5,1,0,1,0
91,0,3,1,26.0,0,0,7.8958,1,0,0,1
92,1,3,1,19.0,0,0,8.05,1,0,0,1
93,1,2,0,45.0,0,0,13.5,0,0,0,1
94,1,1,0,17.0,1,0,57.0,0,0,0,1
95,0,2,1,30.0,0,0,13.0,1,0,0,1
96,0,2,1,28.0,0,1,33.0,1,0,0,1
97,0,3,1,74.0,0,0,7.775,1,0,0,1
98,1,1,0,35.0,0,0,512.3292,0,1,0,0
99,0,2,1,18.0,0,0,11.5,1,0,0,1
100,1,1,1,34.0,0,0,26.55,1,0,0,1
101,1,2,0,50.0,0,1,26.0,0,0,0,1
102,1,1,1,36.0,0,0,26.3875,1,0,0,1
103,0,1,1,71.0,0,0,34.6542,1,1,0,0
104,1,1,1,42.0,0,0,26.2875,1,0,0,1
105,0,1,1,62.0,0,0,26.55,1,0,0,1
106,0,2,1,23.0,2,1,11.5,1,0,0,1
107,0,3,1,42.0,0,0,7.55,1,0,0,1
108,0,2,1,18.0,0,0,13.0,1,0,0,1
109,0,3,0,14.5,1,0,14.4542,0,1,0,0
110,1,3,1,22.0,0,0,7.225,1,1,0,0
111,0,2,1,70.0,0,0,10.5,1,0,0,1
112,1,1,0,38.0,0,0,227.525,0,1,0,0
113,1,3,1,27.0,0,0,7.7958,1,0,0,1
114,0,2,1,48.0,0,0,13.0,1,0,0,1
115,0,2,1,29.0,1,0,21.0,1,0,0,1
116,0,3,0,6.0,4,2,31.275,0,0,0,1
117,1,1,0,53.0,2,0,51.4792,0,0,0,1
118,1,2,0,50.0,0,0,10.5,0,0,0,1
119,1,3,0,5.0,4,2,31.3875,0,0,0,1
120,1,3,1,29.0,0,0,7.8958,1,1,0,0
121,1,2,0,17.0,0,0,10.5,0,0,0,1
122,1,1,0,54.0,1,0,78.2667,0,1,0,0
123,1,1,0,58.0,0,1,153.4625,0,0,0,1
124,0,3,1,35.0,0,0,7.8958,1,1,0,0
125,1,2,0,28.0,1,0,26.0,0,0,0,1
126,1,2,1,1.0,0,2,37.0042,1,1,0,0
127,1,3,0,1.0,1,1,11.1333,0,0,0,1
128,0,3,1,26.0,1,0,14.4542,1,1,0,0
129,1,3,0,18.0,0,0,9.8417,0,0,0,1
130,0,3,1,30.0,1,0,16.1,1,0,0,1
131,0,1,1,47.0,0,0,34.0208,1,0,0,1
132,0,3,0,16.0,5,2,46.9,0,0,0,1
133,0,1,1,45.0,0,0,35.5,1,0,0,1
134,0,3,0,45.0,1,4,27.9,0,0,0,1
135,0,2,0,26.0,1,1,26.0,0,0,0,1
136,1,1,1,27.0,0,0,76.7292,1,1,0,0
137,1,3,1,32.0,0,0,7.8542,1,0,0,1
138,1,2,0,40.0,0,0,13.0,0,0,0,1
139,0,3,1,22.0,0,0,7.8958,1,0,0,1
140,0,3,1,43.0,0,0,6.45,1,0,0,1
141,0,3,1,18.0,0,0,8.3,1,0,0,1
142,0,1,1,19.0,1,0,53.1,1,0,0,1
143,1,3,1,20.0,0,0,7.2292,1,1,0,0
144,0,1,1,45.0,0,0,26.55,1,0,0,1
145,0,3,1,34.0,0,0,8.05,1,0,0,1
146,1,3,0,27.0,0,2,11.1333,0,0,0,1
147,0,3,1,30.0,0,0,7.8958,1,0,0,1
148,1,1,0,30.0,0,0,31.0,0,1,0,0
149,0,3,1,22.0,1,0,7.25,1,0,0,1
150,0,3,0,24.0,0,0,8.85,0,0,0,1
151,0,2,1,39.0,0,0,26.0,1,0,0,1
152,0,2,1,18.0,0,0,11.5,1,0,0,1
153,1,3,1,27.0,0,0,6.975,1,0,0,1
154,0,3,1,17.0,0,0,8.6625,1,0,0,1
155,0,3,0,22.0,0,0,10.5167,0,0,0,1
156,1,2,0,24.0,0,2,14.5,0,0,0,1
157,0,3,1,32.0,0,0,7.925,1,0,0,1
158,0,3,1,9.0,4,2,31.3875,1,0,0,1
159,0,2,1,36.0,0,0,12.875,1,1,0,0
160,0,3,1,39.0,0,0,7.925,1,0,0,1
161,0,3,1,28.0,0,0,9.5,1,0,0,1
162,0,2,1,28.0,0,0,13.0,1,0,0,1
163,0,1,1,45.5,0,0,28.5,1,0,0,1
164,0,3,1,29.0,0,0,7.775,1,0,0,1
165,0,3,1,49.0,0,0,0.0,1,0,0,1
166,0,3,1,45.0,0,0,6.975,1,0,0,1
167,1,1,0,58.0,0,0,146.5208,0,1,0,0
168,0,1,1,47.0,0,0,52.0,1,0,0,1
169,0,3,0,18.0,0,0,7.775,0,0,0,1
170,1,3,1,9.0,0,2,20.525,1,0,0,1
171,1,2,1,32.0,1,0,26.0,1,0,0,1
172,0,3,0,18.0,0,1,14.4542,0,1,0,0
173,0,3,0,20.0,1,0,9.825,0,0,0,1
174,1,1,1,28.0,0,0,26.55,1,0,0,1
175,1,1,0,40.0,1,1,134.5,0,1,0,0
176,0,3,1,51.0,0,0,8.05,1,0,0,1
177,1,3,0,27.0,0,1,12.475,0,0,0,1
178,0,3,1,22.0,0,0,8.05,1,0,0,1
179,0,3,1,65.0,0,0,7.75,1,0,1,0
180,0,3,1,17.0,0,0,8.6625,1,0,0,1
181,0,3,0,25.0,0,0,7.775,0,0,0,1
182,1,1,0,35.0,1,0,90.0,0,0,0,1
183,1,3,1,6.0,0,1,12.475,1,0,0,1
184,0,3,0,29.0,0,4,21.075,0,0,0,1
185,1,2,0,29.0,1,0,26.0,0,0,0,1
186,1,1,0,48.0,0,0,25.9292,0,0,0,1
187,0,3,1,42.0,0,0,7.65,1,0,0,1
188,1,2,0,32.5,0,0,13.0,0,0,0,1
189,0,1,1,28.0,0,0,47.1,1,0,0,1
190,0,2,1,39.0,0,0,13.0,1,0,0,1
191,1,1,1,28.0,0,0,35.5,1,0,0,1
192,1,1,0,18.0,0,2,79.65,0,0,0,1
193,0,3,1,28.0,0,0,7.8542,1,0,0,1
194,0,3,1,19.0,0,0,7.8958,1,0,0,1
195,1,3,0,27.0,0,0,7.925,0,0,0,1
196,0,3,1,18.0,1,1,7.8542,1,0,0,1
197,0,3,1,21.0,0,0,7.775,1,0,0,1
198,1,2,0,25.0,1,1,30.0,0,0,0,1
199,0,3,1,28.5,0,0,7.2292,1,1,0,0
200,0,2,1,36.0,1,2,27.75,1,0,0,1
201,1,1,1,42.0,1,0,52.5542,1,0,0,1
202,1,3,0,23.0,0,0,7.55,0,0,0,1
203,1,2,0,17.0,0,0,12.0,0,1,0,0
204,1,2,1,0.83,0,2,29.0,1,0,0,1
205,0,2,1,21.0,2,0,73.5,1,0,0,1
206,1,3,0,5.0,2,1,19.2583,0,1,0,0
207,1,2,0,40.0,0,0,15.75,0,0,0,1
208,0,3,1,1.0,5,2,46.9,1,0,0,1
209,1,1,0,30.0,0,0,56.9292,0,1,0,0
210,0,3,1,29.0,1,0,7.0458,1,0,0,1
211,0,3,1,21.0,0,0,8.4333,1,0,0,1
212,0,3,1,24.5,0,0,8.05,1,0,0,1
213,1,2,0,13.0,0,1,19.5,0,0,0,1
214,1,1,0,19.0,0,2,26.2833,0,0,0,1
215,0,3,0,37.0,0,0,9.5875,0,0,0,1
216,1,1,0,38.0,1,0,71.2833,0,1,0,0
217,0,3,1,36.0,0,0,0.0,1,0,0,1
218,0,1,1,36.0,1,0,78.85,1,0,0,1
219,0,3,0,25.0,1,0,7.925,0,0,0,1
220,0,3,1,18.0,1,1,20.2125,1,0,0,1
221,1,3,1,24.0,0,0,7.1417,1,0,0,1
222,0,1,1,50.0,1,0,106.425,1,1,0,0
223,0,1,1,64.0,0,0,26.0,1,0,0,1
224,0,2,1,24.0,0,0,10.5,1,0,0,1
225,0,3,1,21.0,0,0,8.05,1,0,0,1
226,0,3,1,32.0,0,0,7.75,1,0,1,0
227,1,3,1,25.0,1,0,7.775,1,0,0,1
228,1,3,0,21.0,0,0,7.65,0,0,0,1
229,0,3,1,11.0,0,0,18.7875,1,1,0,0
230,0,3,1,34.0,0,0,8.05,1,0,0,1
231,0,3,0,9.0,4,2,31.275,0,0,0,1
232,1,3,0,36.0,1,0,17.4,0,0,0,1
233,0,3,1,34.0,0,0,6.4958,1,0,0,1
234,1,1,0,47.0,1,1,52.5542,0,0,0,1
235,0,3,1,19.0,0,0,10.1708,1,0,0,1
236,1,2,0,42.0,1,0,26.0,0,0,0,1
237,0,1,1,55.0,0,0,30.5,1,0,0,1
238,0,1,1,61.0,0,0,33.5,1,0,0,1
239,0,3,1,33.0,0,0,8.6625,1,1,0,0
240,0,3,1,33.0,0,0,7.8958,1,0,0,1
241,1,1,0,36.0,0,2,71.0,0,0,0,1
242,0,2,1,25.0,0,0,13.0,1,0,0,1
243,0,3,1,32.0,0,0,7.8958,1,0,0,1
244,0,3,0,45.0,0,0,7.75,0,0,0,1
245,0,1,1,54.0,0,0,51.8625,1,0,0,1
246,0,2,1,28.0,0,0,10.5,1,0,0,1
247,0,2,1,23.0,0,0,13.0,1,0,0,1
248,0,3,1,20.0,0,0,8.6625,1,0,0,1
249,0,3,1,25.0,0,0,7.65,1,0,0,1
250,1,3,1,32.0,0,0,8.05,1,0,0,1
251,0,3,1,40.5,0,2,14.5,1,0,0,1
252,1,3,0,26.0,0,0,7.8542,0,0,0,1
253,1,1,1,49.0,1,0,89.1042,1,1,0,0
254,0,3,0,11.0,4,2,31.275,0,0,0,1
255,1,3,0,15.0,0,0,8.0292,0,0,1,0
256,0,3,1,21.0,0,0,8.05,1,0,0,1
257,1,1,1,80.0,0,0,30.0,1,0,0,1
258,1,1,0,56.0,0,1,83.1583,0,1,0,0
259,0,3,1,2.0,4,1,39.6875,1,0,0,1
260,1,3,0,29.0,0,2,15.2458,0,1,0,0
261,0,2,0,27.0,1,0,21.0,0,0,0,1
262,1,1,1,56.0,0,0,35.5,1,1,0,0
263,1,2,0,33.0,0,2,26.0,0,0,0,1
264,0,3,1,43.0,0,0,8.05,1,0,0,1
265,1,2,0,45.0,1,1,26.25,0,0,0,1
266,1,1,0,18.0,2,2,262.375,0,1,0,0
267,0,1,1,40.0,0,0,27.7208,1,1,0,0
268,1,1,0,45.0,1,1,164.8667,0,0,0,1
269,1,1,1,40.0,0,0,31.0,1,1,0,0
270,1,1,1,0.92,1,2,151.55,1,0,0,1
271,1,1,0,22.0,1,0,66.6,0,0,0,1
272,0,3,1,28.0,0,0,7.7958,1,0,0,1
273,1,2,0,30.0,0,0,12.35,0,0,1,0
274,1,1,0,39.0,1,1,79.65,0,0,0,1
275,0,3,1,19.0,0,0,7.775,1,0,0,1
276,1,1,1,25.0,1,0,91.0792,1,1,0,0
277,0,3,1,21.0,0,0,7.925,1,0,0,1
278,0,1,1,27.0,0,2,211.5,1,1,0,0
279,0,1,1,29.0,0,0,30.0,1,0,0,1
280,0,1,1,50.0,1,0,55.9,1,0,0,1
281,1,3,0,16.0,0,0,7.7333,0,0,1,0
282,0,3,1,20.0,0,0,7.8542,1,0,0,1
283,1,3,0,13.0,0,0,7.2292,0,1,0,0
284,1,1,1,52.0,0,0,30.5,1,0,0,1
285,1,1,0,36.0,1,2,120.0,0,0,0,1
286,0,3,1,23.5,0,0,7.2292,1,1,0,0
287,0,3,1,26.0,0,0,7.8875,1,0,0,1
288,1,3,1,32.0,0,0,56.4958,1,0,0,1
289,1,1,1,11.0,1,2,120.0,1,0,0,1
290,1,2,0,25.0,0,1,26.0,0,0,0,1
291,0,2,1,34.0,1,0,21.0,1,0,0,1
292,0,3,1,21.0,0,0,7.7333,1,0,1,0
293,1,1,0,22.0,0,0,151.55,0,0,0,1
294,0,3,1,16.0,0,0,9.5,1,0,0,1
295,0,2,1,54.0,0,0,26.0,1,0,0,1
296,1,3,1,26.0,0,0,56.4958,1,0,0,1
297,0,3,1,38.0,0,0,7.05,1,0,0,1
298,1,2,0,40.0,1,1,39.0,0,0,0,1
299,1,2,0,3.0,1,2,41.5792,0,1,0,0
300,1,3,1,29.0,0,0,7.75,1,0,1,0
301,0,1,1,30.0,0,0,27.75,1,1,0,0
302,1,1,0,58.0,0,0,26.55,0,0,0,1
303,0,3,1,35.0,0,0,8.05,1,0,0,1
304,1,1,0,24.0,0,0,49.5042,0,1,0,0
305,1,3,1,20.0,1,0,7.925,1,0,0,1
306,0,2,0,57.0,0,0,10.5,0,0,0,1
307,1,1,1,27.0,1,0,53.1,1,0,0,1
308,1,2,0,24.0,2,3,18.75,0,0,0,1
309,1,1,1,35.0,0,0,512.3292,1,1,0,0
310,1,3,0,31.0,0,0,8.6833,0,0,0,1
311,0,3,0,2.0,4,2,31.275,0,0,0,1
312,1,1,0,17.0,1,0,108.9,0,1,0,0
313,0,3,1,24.0,0,0,7.7958,1,0,0,1
314,0,3,1,16.0,0,0,9.2167,1,0,0,1
315,0,3,1,24.0,0,0,7.05,1,0,0,1
316,1,1,1,49.0,1,0,56.9292,1,1,0,0
317,1,1,0,18.0,1,0,227.525,0,1,0,0
318,0,3,0,41.0,0,5,39.6875,0,0,0,1
319,0,3,1,32.0,0,0,7.925,1,0,0,1
320,0,3,1,27.0,1,0,14.4542,1,1,0,0
321,1,1,0,29.0,0,0,211.3375,0,0,0,1
322,0,1,1,31.0,0,0,50.4958,1,0,0,1
323,0,3,1,17.0,1,1,7.2292,1,1,0,0
324,0,3,1,24.0,0,0,7.4958,1,0,0,1
325,1,2,0,24.0,1,0,26.0,0,0,0,1
326,1,3,0,22.0,0,0,7.775,0,0,0,1
327,0,3,1,21.0,0,0,16.1,1,0,0,1
328,0,3,1,22.0,0,0,7.2292,1,1,0,0
329,0,2,1,19.0,0,0,10.5,1,0,0,1
330,1,3,0,15.0,0,0,7.225,0,1,0,0
331,0,1,1,38.0,0,0,0.0,1,0,0,1
332,0,2,1,66.0,0,0,10.5,1,0,0,1
333,0,2,1,47.0,0,0,15.0,1,0,0,1
334,0,1,1,22.0,0,0,135.6333,1,1,0,0
335,1,2,1,1.0,2,1,39.0,1,0,0,1
336,1,3,0,14.0,1,0,11.2417,0,1,0,0
337,0,3,1,16.0,2,0,18.0,1,0,0,1
338,0,3,1,20.0,0,0,8.05,1,0,0,1
339,0,3,1,36.0,0,0,7.8958,1,0,0,1
340,0,3,1,28.0,0,0,9.5,1,0,0,1
341,0,1,1,56.0,0,0,26.55,1,0,0,1
342,0,3,1,16.0,4,1,39.6875,1,0,0,1
343,1,1,0,41.0,0,0,134.5,0,1,0,0
344,0,1,0,2.0,1,2,151.55,0,0,0,1
345,0,3,1,24.0,0,0,7.8958,1,0,0,1
346,1,2,0,28.0,0,0,13.0,0,0,0,1
347,1,3,0,22.0,0,0,7.25,0,0,0,1
348,0,3,1,18.0,1,0,6.4958,1,0,0,1
349,0,1,1,58.0,0,2,113.275,1,1,0,0
350,0,3,0,40.0,1,0,9.475,0,0,0,1
351,1,2,0,7.0,0,2,26.25,0,0,0,1
352,0,3,1,39.0,1,5,31.275,1,0,0,1
353,0,3,1,20.0,0,0,4.0125,1,1,0,0
354,0,3,1,21.0,0,0,7.8,1,0,0,1
